ID	Core	Lake	Latitude	Longitude
2	HVT03-1	Hvítárvatn	64.64194	-19.84028
3	HVT03-2	Hvítárvatn	64.64333	-19.84967
4	HAK	Haukadalsvatn	65.05585	-21.62576
6	dune	Dune	64.42000	-149.90000
7	greyling	Greyling	61.40000	-145.70000
8	hallet	Hallet	61.50000	-146.20000
9	kusawa	Kusawa	60.27500	-136.18200
11	waskey	Waskey	59.87940	-159.20670
13	N14	N14	59.98000	-44.18000
15	qipisargo	Qipisarqo	61.00000	-47.75000
16	sfl4-1	SFL-1	67.08333	-50.28333
18	SS8	SS8	67.01100	-51.07400
19	jarburvatnet	Jarburvatnet	61.70000	6.76000
21	KR02	KR02	71.34000	-113.78000
26	B-99	Blue Lake	68.08690	-150.46500
27	LCL-1A-1N-1	Last Chance Lake	70.90900	-25.58500
28	TML-1C-1N-1	Two Move Lake	70.90700	-25.59100
29	A-10/C-10	Burial Lake	68.43000	-159.17000
30	05ITLSC	Itilliq Lake	69.99170	-67.11670
31	AT1	AT1	66.96752	-53.40158
32	AT4	AT4	66.96498	-53.49880
34	SS1381	SS1381	67.01425	-51.11953
38	19	Nautajärvi	61.80000	24.68333
39	KL	Keche Lake	68.02000	-146.92000
40	KU-10	Kurupa Lake	68.36370	-154.64960
41	05CF8SC	CF8	70.55000	-68.95000
42	DV09	DV09	75.57611	-89.31528
44	igaliku	Igaliku	61.00000	-45.44861
45	LS16THN301	N3	68.63890	-50.98400
46	S41	S41	63.72794	-109.34361
47	V57	V57	68.65700	-105.35700
49	BONE10-1A	Bone Lake	70.88779	-22.26664
53	Fiskebølvatnet	Fiskebølvatnet	68.41000	14.80000
54	Vikjordavatnet	Vikjordavatnet	68.22700	14.06300
55	LSP	Lone Spruce Pond	60.00700	-159.14300
56	Loon	Loon Lake	67.92927	-161.96694
57	MC-2	Mica Lake	60.95000	-148.15000
58	Nanerersarpik	Nanerersarpik Lake	66.91322	-37.14583
60	NE-14	NE-14 Lake	68.67440	-149.62640
62	Aspvatnet	Aspvatnet Lake	69.73000	19.98000
63	MB01	MB01	69.80667	-112.07500
64	SL06	SL06	69.58933	-91.89217
65	OK2	Okpilak	69.40810	-144.04890
66	Ongoke	Ongoke Lake	59.25000	-159.41667
70	Sikuiui	Sikuiui Lake	70.21106	-51.12485
72	SVID	Stora Viðarvatn lake	66.23720	-15.83470
73	Unit	Unit Lake	59.40400	-97.49300
74	Wahoo	Wahoo Lake	69.07627	-146.92972
75	SS32	Nunatak	67.61667	-50.33333
76	SS16	SS16	67.51667	-50.76667
77	SS49	SS49	67.43333	-53.06667
78	SFL4	SFL4	67.08639	-50.28944
